name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Radisson Hotel Freehold · Visited link,"50 Gibson Pl, Freehold, NJ 07728",choicehotels.com,(732) 677-4333,1153,4.0,40.0857649,-75.4376295
American Hotel · Visited link,"18 E Main St, Freehold, NJ 07728",americanhotelnj.com,(732) 431-3220,902,4.4,40.0857649,-75.4376295
Courtyard by Marriott Wall at Monmouth Shores Corporate Park · Visited link,"1302 Campus Pkwy, Wall Township, NJ 07753",marriott.com,(732) 919-2780,579,4.1,40.0857649,-75.4376295
Red Roof Inn Freehold · Visited link,"4089 US-9, Freehold, NJ 07728",redroof.com,(732) 462-3450,255,3.5,40.0857649,-75.4376295
At 9 Motel · Visited link,"6 E 3rd St, Howell Township, NJ 07731",,(732) 370-4333,164,3.6,40.0857649,-75.4376295
"Holiday Inn Express & Suites Tower Center New Brunswick, an IHG Hotel · Visited link","4 Tower Center Blvd, East Brunswick, NJ 08816",ihg.com,(732) 247-6800,848,4.2,40.0857649,-75.4376295
Colts Neck Inn Hotel · Visited link,"191 County Rd 537, Colts Neck, NJ 07722",coltsneckinnhotel.com,(732) 409-1200,477,4.2,40.0857649,-75.4376295
Hawthorn Suites by Wyndham Tinton Falls · Visited link,"90 Park Rd, Tinton Falls, NJ 07724",wyndhamhotels.com,(732) 982-4901,571,2.9,40.0857649,-75.4376295
Village Inn · Visited link,"260 NJ-34, Colts Neck, NJ 07722",villageinncoltsneck.com,(732) 294-8666,155,2.4,40.0857649,-75.4376295
Hilton East Brunswick Hotel & Executive Meeting Center · Visited link,"3 Tower Center Blvd, East Brunswick, NJ 08816",hilton.com,(732) 828-2000,2574,3.8,40.0857649,-75.4376295
"Holiday Inn East Windsor - Cranbury Area, an IHG Hotel · Visited link","399 Monmouth St, East Windsor, NJ 08520",ihg.com,(609) 448-7000,1019,3.9,40.0857649,-75.4376295
Hilton Garden Inn Lakewood · Visited link,"1885 NJ-70, Lakewood, NJ 08701",hilton.com,(732) 262-5232,843,4.2,40.0857649,-75.4376295
Courtyard by Marriott Cranbury South Brunswick · Visited link,"420 Forsgate Dr, East Windsor, NJ 08512",marriott.com,(609) 655-9950,825,4.2,40.0857649,-75.4376295
Capri Inn and Suites · Visited link,"6530 US-9, Howell Township, NJ 07731",capri-inn-suites.edan.io,(732) 363-8200,81,3.3,40.0857649,-75.4376295
Hampton Inn & Suites Robbinsville · Visited link,"153 W Manor Way, Robbinsville Twp, NJ 08691",hilton.com,(609) 259-0300,919,4.3,40.0857649,-75.4376295
Days Inn by Wyndham East Windsor/Hightstown · Visited link,"460 NJ-33 East, East Windsor, NJ 08520",wyndhamhotels.com,(609) 448-3200,799,3.6,40.0857649,-75.4376295
The Heldrich Hotel & Conference Center · Visited link,"10 Livingston Ave, New Brunswick, NJ 08901",theheldrich.com,(732) 729-4670,1469,4.0,40.0857649,-75.4376295
Comfort Inn & Suites · Visited link,"634 Soders Rd, Carneys Point, NJ 08069",choicehotels.com,(856) 514-8140,454,3.3,39.6822681,-76.6234916
Hampton Inn East Windsor · Visited link,"384 Monmouth St, East Windsor, NJ 08520",hilton.com,(609) 426-1600,551,4.3,40.2699076,-75.6613908
The Hotel ML · Visited link,"915 NJ-73, Mt Laurel Township, NJ 08054",,,1422,3.6,40.2699076,-75.6613908
Hampton Inn East Windsor · Visited link,"384 Monmouth St, East Windsor, NJ 08520",hilton.com,(609) 426-1600,551,4.3,40.2699076,-75.6613908
"Holiday Inn Express & Suites Carneys Point - Pennsville, an IHG Hotel · Visited link","506 S Pennsville Auburn Rd, Carneys Point Township, NJ 08069",ihg.com,(856) 351-9222,427,4.0,39.6822532,-76.6314962
Chateau Inn and Suites · Visited link,"500 Warren Ave, Spring Lake, NJ 07762",chateauinn.com,(732) 974-2000,250,4.5,40.1515837,-75.1870446
