name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Hampton Inn & Suites Agoura Hills · Visited link,"30255 Agoura Rd, Agoura Hills, CA 91301",hilton.com,(818) 597-0333,663,4.4,34.1456484,-119.0706951
Sheraton Agoura Hills Hotel · Visited link,"30100 Agoura Rd, Agoura Hills, CA 91301",marriott.com,(818) 707-1220,1000,3.9,34.1456484,-119.0706951
Homewood Suites by Hilton Agoura Hills · Visited link,"28901 Canwood St, Agoura Hills, CA 91301",hilton.com,(818) 865-1000,645,4.4,34.1456484,-119.0706951
TownePlace Suites by Marriott Thousand Oaks Agoura Hills · Visited link,"29505 Agoura Rd, Agoura Hills, CA 91301",marriott.com,(747) 263-2348,80,4.4,34.1456484,-119.0706951
Courtyard by Marriott Thousand Oaks Agoura Hills · Visited link,"29505 Agoura Rd, Agoura Hills, CA 91301",marriott.com,,98,4.2,34.1456484,-119.0706951
Good Nite Inn Calabasas Malibu · Visited link,"26557 Agoura Rd, Calabasas, CA 91302",goodnite.com,(818) 880-6000,1065,3.9,34.1456484,-119.0706951
Hyatt Regency Westlake · Visited link,"880 S Westlake Blvd, Westlake Village, CA 91361",hyatt.com,(805) 557-1234,1285,4.3,34.1456484,-119.0706951
Grand Vista Hotel · Visited link,"999 Enchanted Way, Simi Valley, CA 93065",grandvistasimi.com,(805) 583-2000,837,3.8,34.1456484,-119.0706951
Cambria Hotel Calabasas · Visited link,"26400 Rondell St, Calabasas, CA 91302",choicehotels.com,(747) 293-6777,199,4.1,34.1456484,-119.0706951
Hilton Garden Inn Calabasas · Visited link,"24150 Park Sorrento, Calabasas, CA 91302",hilton.com,(818) 591-2300,660,4.2,34.1456484,-119.0706951
Malibu Country Inn · Visited link,"6506 Westward Beach Rd, Malibu, CA 90265",malibucountryinn.com,(310) 457-9622,211,3.8,34.1456484,-119.0706951
Residence Inn by Marriott Los Angeles Westlake Village · Visited link,"30950 Russell Ranch Rd, Westlake Village, CA 91362",marriott.com,(818) 707-4411,432,4.3,34.1456484,-119.0706951
Westlake Village Inn · Visited link,"31943 Agoura Rd, Westlake Village, CA 91361",westlakevillageinn.com,(818) 889-0230,879,4.5,34.1456484,-119.0706951
La Quinta Inn & Suites by Wyndham Thousand Oaks-Newbury Park · Visited link,"1320 Newbury Rd, Thousand Oaks, CA 91320",wyndhamhotels.com,(805) 499-5910,601,3.5,34.1456484,-119.0706951
Best Western Plus Thousand Oaks Inn · Visited link,"75 W Thousand Oaks Blvd, Thousand Oaks, CA 91360",bestwestern.com,(805) 497-3701,688,4.1,34.1456484,-119.0706951
The Anza A Calabasas Hotel · Visited link,"23627 Calabasas Rd, Calabasas, CA 91302",theanzahotel.com,(818) 222-5300,730,4.0,34.1456484,-119.0706951
"Four Seasons Hotel Westlake Village, California · Visited link","2 Dole Dr, Westlake Village, CA 91362",fourseasons.com,(818) 575-3000,1544,4.7,34.1456484,-119.0706951
"Hampton Inn & Suites Thousand Oaks, CA · Visited link","510 N Ventu Park Rd, Thousand Oaks, CA 91320",hilton.com,(805) 375-0376,704,4.2,34.1456484,-119.0706951
"Holiday Inn Express & Suites Woodland Hills, an IHG Hotel · Visited link","22617 Ventura Blvd, Woodland Hills, CA 91364",ihg.com,(818) 222-2299,431,3.7,34.167445,-118.9080734
Premier Inns Thousand Oaks · Visited link,"2434 W Hillcrest Dr, Newbury Park, CA 91320",premierinnsthousandoaks.com,(805) 499-0755,632,3.2,34.1858858,-119.2165594
The Surfrider Hotel · Visited link,"23033 Pacific Coast Hwy, Malibu, CA 90265",thesurfridermalibu.com,(310) 526-6158,176,4.6,34.0370947,-118.9663581
Hilton Woodland Hills/Los Angeles · Visited link,"6360 Canoga Ave, Woodland Hills, CA 91367",hilton.com,(818) 595-1000,2027,4.3,34.0370947,-118.9663581
Palm Garden Hotel · Visited link,"495 N Ventu Park Rd, Thousand Oaks, CA 91320",palmgardenhotel.com,(805) 716-4200,822,4.3,34.1860318,-119.2004088
Home2 Suites by Hilton Woodland Hills Los Angeles · Visited link,"21110 W Oxnard St, Los Angeles, CA 91367",hilton.com,(818) 610-1250,238,3.9,34.1788216,-118.8816219
Best Western Posada Royale Hotel & Suites · Visited link,"1775 Madera Rd, Simi Valley, CA 93065",bestwestern.com,(805) 584-6300,1177,4.2,34.269473,-119.0853021
Fairfield Inn & Suites by Marriott Moorpark Ventura County · Visited link,"14350 White Sage Rd, Moorpark, CA 93021",marriott.com,(805) 327-2000,177,4.1,34.269473,-119.0853021
