name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Hilton Garden Inn Roslyn · Visited link,,,,,,40.7497388,-74.1204448
"Holiday Inn Express Roslyn - Long Island, an IHG Hotel · Visited link",,,,,,40.7497388,-74.1204448
"The Roslyn, Tapestry Collection by Hilton · Visited link",,,,,,40.7497388,-74.1204448
"Homewood Suites by Hilton Carle Place - Garden City, NY · Visited link",,,,,,40.7497388,-74.1204448
La Quinta Inn & Suites by Wyndham Garden City · Visited link,,,,,,40.7497388,-74.1204448
SpringHill Suites by Marriott Carle Place Garden City · Visited link,,,,,,40.7497388,-74.1204448
"Holiday Inn Westbury-Long Island, an IHG Hotel · Visited link",,,,,,40.7497388,-74.1204448
Red Roof PLUS+ Long Island - Garden City · Visited link,"144 E 40th St, New York, NY 10016",harringtonhousing.com,(888) 619-7666,424,4.1,40.7497388,-74.1204448
The Andrew Hotel · Visited link,"75 N Station Plaza, Great Neck, NY 11021",andrewhotel.com,(516) 482-2900,,,40.7497388,-74.1204448
Hampton Inn Garden City Long Island · Visited link,"1 North Ave, Garden City, NY 11530",hilton.com,(516) 227-2720,959,4.2,40.7412744,-73.7537474
Travelodge by Wyndham Manhasset · Visited link,"1177 Northern Blvd, Manhasset, NY 11030",wyndhamhotels.com,(516) 708-4952,432,3.1,40.7912389,-73.8466331
Inn At Great Neck · Visited link,"30 Cutter Mill Rd, Great Neck, NY 11021",innatgreatneck.com,(516) 773-2000,762,4.2,40.7912389,-73.8466331
"Viana Hotel and Spa, Trademark Collection by Wyndham · Visited link","3998 Brush Hollow Rd, Westbury, NY 11590",vianahotelandspa.com,(516) 338-7777,1417,4.4,40.7763839,-73.7030351
Hilton Garden Inn Westbury · Visited link,"1575 Privado Rd, Westbury, NY 11590",hilton.com,(516) 683-8200,974,3.8,40.7763839,-73.7030351
East Norwich Inn · Visited link,"6321 Northern Blvd, East Norwich, NY 11732",eastnorwichinnli.com,(516) 922-1500,458,3.8,40.7763839,-73.7030351
Hyatt Place Garden City · Visited link,"5 North Ave, Garden City, NY 11530",hyatt.com,(516) 222-6277,902,4.2,40.7763839,-73.7030351
Residence Inn by Marriott Long Island Garden City · Visited link,"700 Garden City Plaza, Garden City, NY 11530",marriott.com,(516) 742-2500,280,4.4,40.7763839,-73.7030351
Vanderbilt · Visited link,"990 Corporate Dr, Westbury, NY 11590",vanderbiltli.com,(516) 210-2033,32,4.3,40.7763839,-73.7030351
Casa Azul Hotel · Visited link,"220-16 Jamaica Ave, Queens, NY 11428",hotel2497.openhotel.com,(718) 264-6600,207,3.1,40.7188424,-73.8778725
Floral Park Motor Lodge · Visited link,"30 Jericho Turnpike, Floral Park, NY 11001",floralparkhotel.com,(516) 775-7777,542,3.7,40.7188424,-73.8778725
Fathoms Hotel & Marina · Visited link,"433 Main St, Port Washington, NY 11050",fathomshotel.com,(516) 883-4800,110,5.0,40.8290321,-73.8472131
Hotel · Visited link,"7940 Jericho Turnpike, Woodbury, NY 11797",,,,,40.8132959,-73.6216291
Hilton Garden Inn Ridgefield Park · Visited link,"70 Challenger Rd, Ridgefield Park, NJ 07660",hilton.com,(201) 641-2024,1355,4.1,40.8520125,-74.157945
Bellerose Inn · Visited link,"249-5 Jericho Turnpike, Queens, NY 11426",belleroseinnwg.com,(718) 343-4400,310,3.6,40.7268108,-73.8598254
Pines Motor Lodge · Visited link,"101 Taylor Ave, Westbury, NY 11590",pinesmotorlodge.com,(516) 832-8330,310,3.4,40.7268108,-73.8598254
Hotel liberty inn & suites · Visited link,"144-20 Liberty Ave, Queens, NY 11435",hotellibertyjfk.com,(718) 323-3200,120,3.9,40.6927915,-73.9522365
Willis suites · Visited link,"180 Willis Ave, Bronx, NY 10454",,(646) 400-1615,7,4.0,40.8075553,-74.0680043
Royal Inn · Visited link,"1177 Northern Blvd, Manhasset, NY 11030",,(516) 627-5300,14,2.7,40.7914601,-73.8468558
Restgate hotel · Visited link,"38-20 28th St, Queens, NY 11101",,,1,5.0,40.7545929,-74.0790464
Upper Yorkville Suites · Visited link,"1876 3rd Ave, New York, NY 10029",,(646) 330-5472,20,4.6,40.7545929,-74.0790464
Roosevelt Inn of Hyde Park · Visited link,"4360 Albany Post Rd, Hyde Park, NY 12538",rooseveltinnofhydepark.com,(845) 229-2443,117,4.5,41.7893655,-74.0786622
Hillcrest Hotel Near JFK Air Train · Visited link,"164-40 Hillside Ave., Queens, NY 11432",hillcresthotelny.com,(718) 526-8501,111,2.4,40.7090007,-73.9416307
Seton Hotel · Visited link,"144 E 40th St, New York, NY 10016",harringtonhousing.com,(888) 619-7666,424,4.1,40.7497388,-74.1204448
