name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Residence Inn by Marriott Saddle River · Visited link,"7 Boroline Rd, Saddle River, NJ 07458",marriott.com,(201) 934-4144,547,4.0,41.0365076,-74.6907507
"Holiday Inn Express Ramsey-Mahwah, an IHG Hotel · Visited link","946 NJ-17, Ramsey, NJ 07446",ihg.com,(201) 934-9250,511,4.3,41.0365076,-74.6907507
Best Western The Inn At Ramsey · Visited link,"1315 NJ-17, Ramsey, NJ 07446",bestwestern.com,(201) 327-6700,775,3.7,41.0365076,-74.6907507
Extended Stay America - Ramsey - Upper Saddle River · Visited link,"112 NJ-17, Ramsey, NJ 07446",extendedstayamerica.com,(201) 236-9996,379,3.4,41.0365076,-74.6907507
Ramsey Inn & Suites · Visited link,"425 NJ-17, Ramsey, NJ 07446",,(201) 327-0095,76,3.6,41.0365076,-74.6907507
Hampton Inn & Suites Mahwah · Visited link,"290 Route 17, Corporate Dr, Mahwah, NJ 07430",hilton.com,(201) 828-2031,899,4.3,41.0365076,-74.6907507
Courtyard by Marriott Mahwah · Visited link,"140 NJ-17, Mahwah, NJ 07430",marriott.com,(201) 529-5200,721,4.1,41.0365076,-74.6907507
Hilton Garden Inn Wayne · Visited link,"15 Nevins Rd, Wayne, NJ 07470",hilton.com,(973) 878-1007,656,4.4,41.0365076,-74.6907507
Fairfield Inn & Suites by Marriott North Bergen · Visited link,"1707 69th St, North Bergen, NJ 07047",marriott.com,(201) 272-6600,883,4.5,41.0365076,-74.6907507
DoubleTree by Hilton Hotel Mahwah · Visited link,"180 NJ-17, Mahwah, NJ 07430",hilton.com,(201) 529-5880,714,3.7,41.0365076,-74.6907507
Super 8 by Wyndham Mahwah · Visited link,"160 NJ-17 South, Mahwah, NJ 07430",wyndhamhotels.com,(201) 252-4479,495,3.4,41.0365076,-74.6907507
Fair Motel · Visited link,"255 NJ-17, Upper Saddle River, NJ 07458",,(201) 818-8554,116,3.7,41.0365076,-74.6907507
Fairfield Inn & Suites by Marriott Mahwah · Visited link,"225 Ramapo Valley Rd, Mahwah, NJ 07430",marriott.com,(201) 529-4000,546,3.9,41.0365076,-74.6907507
Hampton Inn Ridgefield Park · Visited link,"100 US-46, Ridgefield Park, NJ 07660",hilton.com,(201) 641-2900,1022,3.8,41.0365076,-74.6907507
Homewood Suites by Hilton Mahwah · Visited link,"375 Corporate Dr, Mahwah, NJ 07430",hilton.com,(201) 760-9994,721,4.2,41.0365076,-74.6907507
"Holiday Inn Express Haskell-Wayne Area, an IHG Hotel · Visited link","303 Union Ave, Haskell, NJ 07420",ihg.com,(973) 839-4405,573,4.4,41.0365076,-74.6907507
Fairfield Inn & Suites by Marriott Paramus · Visited link,"601 From Rd, Paramus, NJ 07652",marriott.com,(201) 262-6900,509,4.4,41.0365076,-74.6907507
Hilton Garden Inn Ridgefield Park · Visited link,"70 Challenger Rd, Ridgefield Park, NJ 07660",hilton.com,(201) 641-2024,1355,4.1,41.0365076,-74.6907507
Days Inn by Wyndham Ridgefield NJ · Visited link,"1085 US-46 west, Ridgefield, NJ 07657",wyndhamhotels.com,(201) 877-1088,589,2.9,41.0365076,-74.6907507
Best Western · Visited link,"211 NJ-17, Paramus, NJ 07652",bestwestern.com,(201) 261-8686,106,4.1,41.0365076,-74.6907507
Courtyard by Marriott Montvale · Visited link,"100 Chestnut Ridge Rd, Montvale, NJ 07645",marriott.com,(201) 391-7700,767,4.0,41.0365076,-74.6907507
Hilton Pearl River · Visited link,"500 Veterans Memorial Dr, Pearl River, NY 10965",hilton.com,(845) 735-9000,1148,4.4,41.0365076,-74.6907507
"Crowne Plaza Saddle Brook, an IHG Hotel · Visited link","50 Kenny Pl, Saddle Brook, NJ 07663",ihg.com,(201) 880-8250,1287,4.0,41.0365076,-74.6907507
Hampton Inn Paramus · Visited link,"625 From Rd, Paramus, NJ 07652",hilton.com,(201) 262-0046,534,4.4,41.0365076,-74.6907507
SpringHill Suites by Marriott East Rutherford Meadowlands/Carlstadt · Visited link,"192 Paterson Plank Rd, Carlstadt, NJ 07072",marriott.com,(201) 935-9400,307,4.2,41.0365076,-74.6907507
Marriott Saddle Brook · Visited link,"138 New Pehle Ave, Saddle Brook, NJ 07663",marriott.com,(201) 843-9500,1178,3.8,41.0365076,-74.6907507
Comfort Inn · Visited link,"50 State Rte 17, Paramus, NJ 07652",choicehotels.com,(201) 843-5400,518,4.2,41.0365076,-74.6907507
Quality Inn Spring Valley - Nanuet · Visited link,"100 Spring Valley Market Pl, Spring Valley, NY 10977",choicehotels.com,(845) 262-6121,541,3.1,41.0365076,-74.6907507
TAPA HOTEL · Visited link,"220 NJ-17, Mahwah, NJ 07430",,(201) 512-3800,4,4.0,41.0365076,-74.6907507
Courtyard by Marriott Paramus · Visited link,"320 NJ-17, Paramus, NJ 07652",marriott.com,(201) 599-1414,714,4.2,41.0365076,-74.6907507
Hyatt Place Fair Lawn/Paramus · Visited link,"41-01 Broadway 208 North, Fair Lawn, NJ 07410",hyatt.com,(201) 475-3888,935,4.0,41.0365076,-74.6907507
Hilton Garden Inn Nanuet · Visited link,"270 NY-59, Nanuet, NY 10954",hilton.com,(845) 203-1275,737,3.7,41.0365076,-74.6907507
Residence Inn by Marriott Wayne · Visited link,"30 Nevins Rd, Wayne, NJ 07470",marriott.com,(973) 872-7100,482,4.3,41.0365076,-74.6907507
