name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
"The St. Laurent: Heirloom, Guest Rooms, and Social Club · Visited link","408 7th Ave, Asbury Park, NJ 07712",thestlaurent.com,(732) 795-2582,136,4.4,40.2479132,-74.1443743
The Asbury Hotel · Visited link,"210 Fifth Ave, Asbury Park, NJ 07712",theasburyhotel.com,(732) 774-7100,1908,4.3,40.2479132,-74.1443743
Asbury Ocean Club Hotel · Visited link,"1101 Ocean Ave N, Asbury Park, NJ 07712",asburyoceanclub.com,(732) 481-0706,,,40.2479132,-74.1443743
Ocean Park Inn Bed & Breakfast · Visited link,"38 Surf Ave, Ocean Grove, NJ 07756",theoceanparkinn.com,(732) 988-5283,68,4.7,40.2479132,-74.1443743
"The Melrose, Bed & Bath · Visited link","34 Seaview Ave, Ocean Grove, NJ 07756",themelroseog.com,(732) 898-2232,63,4.1,40.2479132,-74.1443743
The Ocean Plaza Hotel · Visited link,"18 Ocean Pathway, Ocean Grove, NJ 07756",theinnsofoceangrove.com,(732) 774-6552,277,4.8,40.2479132,-74.1443743
Homewood Suites by Hilton Eatontown · Visited link,"4 Industrial Way E, Eatontown, NJ 07724",hilton.com,(732) 380-9300,703,4.3,40.2479132,-74.1443743
The Empress Hotel · Visited link,"101 Asbury Ave, Asbury Park, NJ 07712",asburyempress.com,(732) 774-0100,580,4.2,40.2479132,-74.1443743
Courtyard by Marriott Wall at Monmouth Shores Corporate Park · Visited link,"1302 Campus Pkwy, Wall Township, NJ 07753",marriott.com,(732) 919-2780,579,4.1,40.2184132,-74.2679894
Crystal Inn Neptune · Visited link,"706 NJ-35, Neptune Township, NJ 07753",crystalinnneptune.com,(732) 776-9000,573,3.5,40.2239122,-74.1805469
The James Bradley · Visited link,"204 3rd Ave, Bradley Beach, NJ 07720",thejamesbradleybeach.com,(732) 774-2875,90,4.8,40.2239122,-74.1805469
The Ocean View Inn · Visited link,"22 Ocean Pathway, Ocean Grove, NJ 07756",theinnsofoceangrove.com,(732) 774-6552,59,4.6,40.2239122,-74.1805469
La Quinta Inn by Wyndham West Long Branch · Visited link,"109 NJ-36, West Long Branch, NJ 07764",wyndhamhotels.com,(732) 403-8700,800,3.0,40.2239122,-74.1805469
"Holiday Inn Express & Suites West Long Branch - Eatontown, an IHG Hotel · Visited link","294 NJ-36, West Long Branch, NJ 07764",ihg.com,(732) 542-1234,624,3.8,40.2239122,-74.1805469
The Majestic Hotel · Visited link,"19 Main Ave, Ocean Grove, NJ 07756",majesticoceangrove.com,(732) 775-6100,231,4.4,40.2239122,-74.1805469
"The Carriage House OG, LLC · Visited link","17 Embury Ave, Ocean Grove, NJ 07756",thecarriagehouseoceangrove.com,(201) 218-5512,173,4.8,40.2239122,-74.1805469
Sheraton Eatontown Hotel · Visited link,"6 Industrial Way E, Eatontown, NJ 07724",marriott.com,(732) 542-6500,1148,4.1,40.2239122,-74.1805469
Hampton Inn Neptune/Wall · Visited link,"4 McNamara Way, Neptune Township, NJ 07753",hilton.com,(732) 643-0500,759,4.3,40.2239122,-74.1805469
Residence Inn by Marriott Neptune at Gateway Centre · Visited link,"230 Jumping Brook Rd, Neptune Township, NJ 07753",marriott.com,(732) 643-9350,525,3.9,40.2239122,-74.1805469
Cashelmara Inn · Visited link,"22 Lakeside Ave, Avon-By-The-Sea, NJ 07717",cashelmara.com,(732) 776-8727,73,5.0,40.2239122,-74.1805469
Sonesta Select Tinton Falls Eatontown · Visited link,"600 Hope Rd, Tinton Falls, NJ 07724",sonesta.com,(732) 389-2100,468,4.0,40.2239122,-74.1805469
Hawthorn Suites by Wyndham Tinton Falls · Visited link,"90 Park Rd, Tinton Falls, NJ 07724",wyndhamhotels.com,(732) 982-4901,571,2.9,40.2239122,-74.1805469
Chateau Inn and Suites · Visited link,"500 Warren Ave, Spring Lake, NJ 07762",chateauinn.com,(732) 974-2000,250,4.5,40.2239122,-74.1805469
Laingdon Hotel · Visited link,"8 Ocean Ave N, Ocean Grove, NJ 07756",laingdonhotel.com,(732) 774-7974,93,4.6,40.2239122,-74.1805469
Berkeley Oceanfront Hotel · Visited link,"1401 Ocean Ave, Asbury Park, NJ 07712",berkeleyhotelnj.com,(732) 776-6700,1798,3.6,40.2239122,-74.1805469
The Inn At The Shore · Visited link,"301 4th Ave, Belmar, NJ 07719",theinnattheshore.com,(732) 681-3762,86,4.9,40.2239122,-74.1805469
The Shore Club · Visited link,"700 NJ-71, Spring Lake, NJ 07762",theshoreclubnj.com,(732) 449-3666,,,40.2239122,-74.1805469
Red Roof Inn Neptune - Jersey Shore · Visited link,"3310 NJ-33, Neptune City, NJ 07753",redroof.com,(732) 643-8888,312,3.9,40.2239122,-74.1805469
Courtyard by Marriott Lincroft Red Bank · Visited link,"245 Half Mile Rd, Red Bank, NJ 07701",marriott.com,(732) 530-5552,696,4.3,40.3385734,-74.2395706
Red Roof Inn Tinton Falls - Jersey Shore · Visited link,"11 Centre Plaza, Tinton Falls, NJ 07724",redroof.com,(732) 389-4646,,,40.3385734,-74.2395706
Colts Neck Inn Hotel · Visited link,"191 County Rd 537, Colts Neck, NJ 07722",coltsneckinnhotel.com,(732) 409-1200,477,4.2,40.2878135,-74.3181823
Extended Stay America - Red Bank - Middletown · Visited link,"329 Newman Springs Rd, Red Bank, NJ 07701",extendedstayamerica.com,(732) 450-8688,426,3.5,40.3355086,-74.2365696
Crystal Inn · Visited link,"170 NJ-35, Eatontown, NJ 07724",crystalinneatontown.com,(732) 542-4900,461,3.2,40.3355086,-74.2365696
Atlantic Inn & Suites · Visited link,"1916 NJ-35, Wall Township, NJ 07719",atlanticinnandsuites.xyz,(732) 974-8400,221,3.7,40.1573015,-74.1962322
Inn on Main Hotel · Visited link,"152 Main St, Manasquan, NJ 08736",innonmainmanasquan.com,(732) 528-0099,66,4.1,40.1573015,-74.1962322
