name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Hampton Inn & Suites Robbinsville · Visited link,"153 W Manor Way, Robbinsville Twp, NJ 08691",hilton.com,(609) 259-0300,919,4.3,40.1939811,-75.1697921
"Homewood Suites by Hilton Hamilton, NJ · Visited link","960 US-130, Hamilton Township, NJ 08690",hilton.com,(609) 689-1260,782,4.3,40.1939811,-75.1697921
Hilton Garden Inn Hamilton · Visited link,"800 US-130, Hamilton Township, NJ 08690",hilton.com,(609) 585-6789,,,40.1939811,-75.1697921
Courtyard by Marriott Hamilton · Visited link,"530 US-130, Hamilton Township, NJ 08691",marriott.com,(609) 581-1880,165,4.5,40.1939811,-75.1697921
SureStay Plus By Best Western Mcguire AFB Jackson · Visited link,"21 Wrightstown Cookstown Rd, Cookstown, NJ 08511",bestwestern.com,(609) 723-6500,92,3.5,40.1939811,-75.1697921
Residence Inn by Marriott Hamilton · Visited link,"559 US-130, Hamilton Township, NJ 08620",marriott.com,(609) 585-2111,659,4.4,40.1939811,-75.1697921
Hampton Inn Bordentown · Visited link,"2004 US-206, Bordentown, NJ 08505",hilton.com,(609) 298-4000,740,4.1,40.1939811,-75.1697921
"Holiday Inn Express Bordentown - Trenton South, an IHG Hotel · Visited link","195 US-130, Bordentown, NJ 08505",ihg.com,(609) 817-0070,562,4.1,40.1939811,-75.1697921
Days Inn by Wyndham East Windsor/Hightstown · Visited link,"460 NJ-33 East, East Windsor, NJ 08520",wyndhamhotels.com,(609) 448-3200,799,3.6,40.1939811,-75.1697921
"Holiday Inn East Windsor - Cranbury Area, an IHG Hotel · Visited link","399 Monmouth St, East Windsor, NJ 08520",ihg.com,(609) 448-7000,1019,3.9,40.1939811,-75.1697921
Days Inn by Wyndham Wrightstown McGuire AFB/Bordentown · Visited link,"507 E Main St, Wrightstown, NJ 08562",wyndhamhotels.com,(609) 723-6900,489,2.8,40.1939811,-75.1697921
DoubleTree by Hilton Hotel Princeton · Visited link,"4355 US-1, Princeton, NJ 08540",hilton.com,(609) 452-2400,1481,3.9,40.1939811,-75.1697921
Hampton Inn East Windsor · Visited link,"384 Monmouth St, East Windsor, NJ 08520",hilton.com,(609) 426-1600,551,4.3,40.1939811,-75.1697921
Home2 Suites by Hilton Bordentown · Visited link,"840 US-206, Bordentown, NJ 08505",hilton.com,(609) 669-0600,542,4.2,40.1939811,-75.1697921
Hyatt Regency Princeton · Visited link,"102 Carnegie Center Dr, Princeton, NJ 08540",hyatt.com,(609) 987-1234,1946,4.3,40.1939811,-75.1697921
"Candlewood Suites Bordentown-Trenton, an IHG Hotel · Visited link","200 Rising Sun Rd, Bordentown, NJ 08505",ihg.com,(609) 291-1010,395,4.0,40.1939811,-75.1697921
Best Western Bordentown Inn · Visited link,"1068 US-206, Bordentown, NJ 08505",bestwestern.com,(609) 298-8000,1002,3.6,40.1939811,-75.1697921
Courtyard by Marriott Cranbury South Brunswick · Visited link,"420 Forsgate Dr, East Windsor, NJ 08512",marriott.com,(609) 655-9950,825,4.2,40.1939811,-75.1697921
Courtyard by Marriott Wall at Monmouth Shores Corporate Park · Visited link,"1302 Campus Pkwy, Wall Township, NJ 07753",marriott.com,(732) 919-2780,579,4.1,40.2184132,-74.700576
Windsor hotel · Visited link,"460 NJ-33 East, East Windsor, NJ 08520",,(609) 448-3200,4,4.0,40.2685229,-75.0819198
"Staybridge Suites Cranbury-South Brunswick, an IHG Hotel · Visited link","1272 S River Rd, Cranbury, NJ 08512",ihg.com,(609) 409-7181,434,4.0,40.2685229,-75.0819198
Hilton East Brunswick Hotel & Executive Meeting Center · Visited link,"3 Tower Center Blvd, East Brunswick, NJ 08816",hilton.com,(732) 828-2000,2574,3.8,40.2685229,-75.0819198
The Hilltop Motel · Visited link,"126 NJ-68, Wrightstown, NJ 08562",thehilltopmotel.com,(609) 723-8333,199,4.3,40.2685229,-75.0819198
"Crowne Plaza Princeton - Conference Center, an IHG Hotel · Visited link","900 Scudders Mill Rd, Plainsboro Township, NJ 08536",ihg.com,(609) 936-4200,1197,4.2,40.2685229,-75.0819198
Days Inn by Wyndham Monmouth Junction Princeton · Visited link,"208 New Rd, Monmouth Junction, NJ 08852",wyndhamhotels.com,(732) 798-3120,437,3.4,40.2685229,-75.0819198
Comfort Inn Bordentown near NJ Turnpike · Visited link,"1009 US-206, Bordentown, NJ 08505",choicehotels.com,(609) 298-9111,478,3.5,40.2685229,-75.0819198
Red Roof Inn Princeton - Ewing · Visited link,"3203 Brunswick Pike Building A, Trenton, NJ 08648",redroof.com,(609) 896-3388,800,3.3,40.2685229,-75.0819198
Homewood Suites by Hilton Eatontown · Visited link,"4 Industrial Way E, Eatontown, NJ 07724",hilton.com,(732) 380-9300,703,4.3,40.2760244,-74.6190253
Hampton Inn Cranbury · Visited link,"1261 S River Rd, Cranbury, NJ 08512",hilton.com,(609) 642-6440,345,4.6,40.3251632,-75.077863
MHO Hotel Bordentown · Visited link,"US-130 &, US-206, Fieldsboro, NJ 08505",mhohotelbordentown.com,(609) 298-5000,,,40.3251632,-75.077863
Lodge Inn · Visited link,"54 Fort Dix St, Wrightstown, NJ 08562",lodgeinnwrightstown.com,(609) 723-2323,150,4.1,40.3251632,-75.077863
Hyatt Place Princeton · Visited link,"3565 US-1, Princeton, NJ 08540",hyatt.com,(609) 720-0200,653,4.1,40.3251632,-75.077863
Days Inn by Wyndham Bordentown · Visited link,"1073 US-206, Fieldsboro, NJ 08505",wyndhamhotels.com,(609) 298-6100,302,3.4,40.3251632,-75.077863
Extended Stay America - Princeton - South Brunswick · Visited link,"4230 US-1, Monmouth Junction, NJ 08852",extendedstayamerica.com,(732) 438-5010,464,3.5,40.3251632,-75.077863
"Allentown Park Hotel, Ascend Hotel Collection · Visited link","7471 Keebler Way, Allentown, PA 18106",choicehotels.com,(484) 214-7677,717,4.1,40.5798232,-76.1972987
Crystal Springs Wilderness Lodges & RV Resort · Visited link,"724 Monmouth Rd, Cream Ridge, NJ 08514",visitcrystalsprings.com,(609) 738-3193,217,3.4,40.1262737,-75.0523107
Scottish Inns & Suites Bordentown NJ · Visited link,"3312 US-206, Bordentown, NJ 08505",stayhihotels.com,(609) 298-3355,93,2.3,40.1262737,-75.0523107
SpringHill Suites by Marriott Ewing Princeton South · Visited link,"1000 Charles Ewing Blvd, Ewing Township, NJ 08628",marriott.com,(609) 530-0900,648,4.2,40.288277,-75.3742602
Hilton Garden Inn Princeton Lawrenceville · Visited link,"1300 Lenox Dr, Lawrence Township, NJ 08648",hilton.com,(609) 895-9200,396,4.3,40.288277,-75.3742602
Red Roof Inn Bordentown – McGuire AFB · Visited link,"1073 US-206 Building A, Bordentown, NJ 08505",redroof.com,(609) 521-4242,359,3.9,40.288277,-75.3742602
"Holiday Inn Allentown-Bethlehem, an IHG Hotel · Visited link","4325 Hamilton Blvd, Allentown, PA 18103",ihg.com,(610) 366-1600,188,4.0,40.5715815,-76.1201619
Quality Inn & Suites NJ State Capital Area · Visited link,"7 S Pennsylvania Ave, Morrisville, PA 19067",choicehotels.com,(215) 310-5011,493,3.7,40.206065,-75.3532824
Courtyard by Marriott Ewing Princeton · Visited link,"360 Scotch Rd, Ewing Township, NJ 08628",marriott.com,(609) 771-8100,529,4.1,40.206065,-75.3532824
Colts Neck Inn Hotel · Visited link,"191 County Rd 537, Colts Neck, NJ 07722",coltsneckinnhotel.com,(732) 409-1200,477,4.2,40.2878135,-74.7507689
Town Inn · Visited link,"1083 US-206, Fieldsboro, NJ 08505",,(609) 298-3200,287,2.6,40.127458,-75.2817329
Extended Stay America - Princeton - West Windsor · Visited link,"3450 Brunswick Pike, Princeton, NJ 08540",extendedstayamerica.com,(609) 919-9000,417,3.4,40.127458,-75.2817329
"Motel 6 East Windsor, NJ - Hightstown · Visited link","351 Franklin St, East Windsor, NJ 08520",motel6.com,(609) 448-7399,37,3.4,40.127458,-75.2817329
WoodSpring Suites South Brunswick - Princeton · Visited link,"3962 US-1, Monmouth Junction, NJ 08852",woodspring.com,(732) 474-8919,59,3.3,40.127458,-75.2817329
Colonade Motel · Visited link,"472 US-130, East Windsor, NJ 08520",,(609) 448-2294,78,2.9,40.127458,-75.2817329
MHO Inn & Suites · Visited link,"4191 US-1, Monmouth Junction, NJ 08852",mhohotels.com,(732) 329-4555,576,3.7,40.127458,-75.2817329
"Scottish Inns Wrightstown, NJ · Visited link","42 Wrightstown Georgetown Rd, Wrightstown, NJ 08562",stayhihotels.com,(609) 723-3336,175,3.5,40.127458,-75.2817329
Red Roof Inn Freehold · Visited link,"4089 US-9, Freehold, NJ 07728",redroof.com,(732) 462-3450,255,3.5,40.2657645,-74.8699687
Quality Inn Near Princeton · Visited link,"3270 US Route 1 North, Lawrenceville, NJ 08648",choicehotels.com,(609) 896-3700,374,3.6,40.2905389,-75.2630069
Residence Inn by Marriott Princeton at Carnegie Center · Visited link,"3563 US-1, Princeton, NJ 08540",marriott.com,(609) 799-0550,339,4.2,40.2905389,-75.2630069
Sheraton Eatontown Hotel · Visited link,"6 Industrial Way E, Eatontown, NJ 07724",marriott.com,(732) 542-6500,1148,4.1,40.275599,-74.6199997
HomeTowne Studios Princeton - Ewing/ Lawrenceville · Visited link,"3203 Brunswick Pike Building B, Trenton, NJ 08648",redroof.com,(609) 896-3388,27,3.6,40.2889585,-75.2671979
"Red Carpet Inn & Suites Wrightstown, NJ · Visited link","39 Wrightstown Georgetown Rd, Wrightstown, NJ 08562",stayhihotels.com,(609) 723-1372,,,40.2889585,-75.2671979
Town House Motel · Visited link,"351 Franklin St, East Windsor, NJ 08520",,(609) 448-2400,55,3.4,40.2889585,-75.2671979
Residence Inn by Marriott Cranbury South Brunswick · Visited link,"2662 US-130, East Windsor, NJ 08512",marriott.com,(609) 395-9447,423,4.1,40.2889585,-75.2671979
HomeTowne Studios Bordentown – McGuire AFB · Visited link,"1073 US-206 Building B, Bordentown, NJ 08505",redroof.com,(609) 521-4242,22,3.9,40.2889585,-75.2671979
Motel 6 Lawrenceville · Visited link,"2995 US-1 #2995, Lawrenceville, NJ 08648",motel6.com,(609) 896-1100,247,3.6,40.2889585,-75.2671979
"Red Carpet Inn & Suites Monmouth Junction, NJ · Visited link","2070 US-130 North, Monmouth Junction, NJ 08852",redcarpetnj.com,(732) 305-7880,232,3.9,40.2889585,-75.2671979
Inn at Laurita Winery · Visited link,"19 Archertown Rd #1902, New Egypt, NJ 08533",innatlauritawinery.com,(609) 752-0303,61,4.6,40.2889585,-75.2671979
Courtyard by Marriott Princeton · Visited link,"3815 US Route 1 @, Mapleton Rd, Princeton, NJ 08540",marriott.com,(609) 716-9100,608,4.1,40.2889585,-75.2671979
Inn at Glencairn Princeton · Visited link,"3301 Lawrenceville, Princeton Rd, Princeton, NJ 08540",innatglencairn.com,(609) 497-1737,132,4.8,40.2889585,-75.2671979
TownePlace Suites by Marriott Cranbury South Brunswick · Visited link,"2535 US-130, Cranbury, NJ 08512",marriott.com,(609) 655-4005,527,4.4,40.2889585,-75.2671979
Hotel Vicenza · Visited link,"3793 US-1 SOUTH, Monmouth Junction, NJ 08852",vicenzanj.com,(732) 297-1600,112,3.0,40.2889585,-75.2671979
Dancer Farm Bed & Breakfast · Visited link,"19 Archertown Rd, New Egypt, NJ 08533",innatlauritawinery.com,(609) 752-0303,3,5.0,40.2889585,-75.2671979
The Inn at Fernbrook Farms · Visited link,"144 Bordentown Georgetown Rd, Chesterfield Township, NJ 08515",innatfernbrookfarms.com,(609) 298-3868,96,4.8,40.2889585,-75.2671979
JBMDL AllAmerican Inn · Visited link,"McGuire AFB, NJ 08641",,,3,4.7,40.2889585,-75.2671979
Timberland Lake Campground · Visited link,"1335 Reed Rd, Jackson Township, NJ 08527",timberlandlakecampground.com,(732) 928-0500,414,4.0,40.2889585,-75.2671979
Oakwood Motel · Visited link,"1210 US-130, Robbinsville Twp, NJ 08691",oakwood-motel.edan.io,(609) 490-0349,46,4.2,40.2889585,-75.2671979
Trails End Motel · Visited link,"1350 US-130, Windsor, NJ 08561",,(609) 448-2165,25,3.2,40.2889585,-75.2671979
American Inn Joint Base McGuire Dix Lakehurst Bordentown Area · Visited link,"501 E Main St, Wrightstown, NJ 08562",,(609) 723-6900,,,40.2889585,-75.2671979
Travelette Motel · Visited link,"131 US-130, Fieldsboro, NJ 08505",travelette-motel.com,(609) 298-2371,64,3.4,40.2889585,-75.2671979
Johnson's Locust Hall Farm · Visited link,"2691 Monmouth Rd, Jobstown, NJ 08041",johnsonslocusthallfarm.com,(609) 353-9000,548,4.8,40.2889585,-75.2671979
WyndhamHotel · Visited link,"Mt Laurel Township, NJ 08054",wyndhamhotels.com,,1222,3.5,39.9282289,-75.5310739
Indian Rock RV Park & Campground · Visited link,"920 W Veterans Hwy, Jackson Township, NJ 08527",indianrockrvpark.com,(732) 928-0034,179,3.9,40.1001518,-74.9921071
Bordentown Motel · Visited link,"77 US-130, Fieldsboro, NJ 08620",,(609) 298-5334,19,2.6,40.16396,-75.2662362
Quality Inn & Suites · Visited link,"2015 Burlington-Mount Holly Rd Route 541, Westampton, NJ 08060",choicehotels.com,,106,3.9,40.16396,-75.2662362
Laurel Notch Motel · Visited link,"1043 US-206, Fieldsboro, NJ 08505",laurel-notch-motel.poi.place,(609) 298-6500,106,2.9,40.16396,-75.2662362
Host Motel · Visited link,"1398 US-130, Windsor, NJ 08561",,,12,3.0,40.16396,-75.2662362
Budget Inn-Wrightstown · Visited link,"2841 Monmouth Rd, Jobstown, NJ 08041",,(609) 723-4555,56,2.9,40.16396,-75.2662362
Budget Inn · Visited link,"590 New York Ave, Trenton, NJ 08638",,(609) 599-9300,,,40.16396,-75.2662362
Pine Motel · Visited link,"5256 US-130, Bordentown, NJ 08505",,(609) 298-2126,,,40.16396,-75.2662362
Mount Motel · Visited link,"2984 US-1, Lawrenceville, NJ 08648",mountmotel.com,(609) 896-0125,224,3.4,40.16396,-75.2662362
River Front Motel · Visited link,"5303 US-130, Bordentown, NJ 08505",,(609) 298-0357,60,2.6,40.16396,-75.2662362
Northview Motel · Visited link,"2134 US-130, Burlington, NJ 08016",,(609) 499-1417,35,3.2,40.16396,-75.2662362
