name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
"Holiday Inn Express & Suites West Omaha - Elkhorn, an IHG Hotel · Visited link","19040 Evans St, Elkhorn, NE 68022",ihg.com,(402) 916-1800,161,4.2,41.2913865,-96.2329203
Residence Inn by Marriott Omaha West · Visited link,"18202 Cuming St, Elkhorn, NE 68022",marriott.com,(402) 289-9500,453,4.5,41.2658319,-96.2174959
Aloft Omaha West · Visited link,"215 S 181st St, Elkhorn, NE 68022",marriott.com,(531) 772-0247,159,3.8,41.2658319,-96.2174959
"Home2 Suites by Hilton Omaha West, NE · Visited link","17889 Chicago St, Omaha, NE 68118",hilton.com,(402) 289-9886,555,4.2,41.2658319,-96.2174959
Hilton Garden Inn Omaha West · Visited link,"17879 Chicago St, Omaha, NE 68118",hilton.com,(402) 289-9696,587,4.2,41.2658319,-96.2174959
Comfort Suites West Omaha · Visited link,"2500 S 192nd Ave, Omaha, NE 68130",choicehotels.com,(402) 991-3885,469,4.3,41.2359041,-96.2351489
Hampton Inn Omaha West-Lakeside · Visited link,"17606 Arbor Plaza, Omaha, NE 68130",hilton.com,(402) 330-9500,629,4.1,41.236253,-96.2086755
Holiday Inn Express & Suites Omaha - 120th And Maple · Visited link,"11818 Miami St, Omaha, NE 68114",ihg.com,(402) 445-4445,293,3.8,41.2829085,-96.11737
Hampton Inn Omaha/West Dodge Road (Old Mill) · Visited link,"11201 Davenport St, Omaha, NE 68154",hilton.com,(402) 334-4938,600,4.0,41.2613993,-96.1048543
Old Mill Inn · Visited link,"650 N 109th Ct, Omaha, NE 68154",bookonthenet.net,(402) 431-1246,877,3.9,41.2613993,-96.1048543
"Staybridge Suites Omaha West, an IHG Hotel · Visited link","2720 Oak Dr, Omaha, NE 68130",ihg.com,(402) 502-0202,372,4.5,41.2329977,-96.2016681
Super 8 by Wyndham Omaha/West Dodge · Visited link,"11610 W Dodge Rd, Omaha, NE 68154",wyndhamhotels.com,(402) 253-0723,483,3.1,41.2639136,-96.113977
Fairfield Inn & Suites by Marriott Omaha West · Visited link,"17240 Wright St, Omaha, NE 68130",marriott.com,(402) 504-9444,407,4.3,41.2331929,-96.202983
"Holiday Inn Express & Suites Omaha West, an IHG Hotel · Visited link","17677 Wright St, Omaha, NE 68130",ihg.com,(402) 333-5566,467,4.2,41.2331929,-96.202983
Omaha Marriott · Visited link,"10220 Regency Cir, Omaha, NE 68114",marriott.com,(402) 399-9000,1347,4.1,41.26065,-96.0908964
La Quinta Inn by Wyndham Omaha West · Visited link,"3330 N 104th Ave, Omaha, NE 68134",wyndhamhotels.com,(402) 493-1900,1366,3.1,41.2897086,-96.0942592
"Holiday Inn Express & Suites Cherry Hills, an IHG Hotel · Visited link","6939 N 102nd Cir, Omaha, NE 68122",ihg.com,(402) 505-8181,442,4.4,41.3211664,-96.0895015
TownePlace Suites by Marriott Omaha West · Visited link,"10865 W Dodge Rd, Omaha, NE 68154",marriott.com,(402) 590-2800,529,4.1,41.2613883,-96.1018806
MainStay Suites Omaha Old Mill · Visited link,"360 S 108th Ave, Omaha, NE 68154",choicehotels.com,(402) 758-2848,146,3.7,41.2613883,-96.1018806
Townhouse Inn · Visited link,"13929 Gold Cir, Omaha, NE 68144",,(402) 333-3777,232,4.0,41.2345161,-96.1497993
Comfort Inn & Suites Omaha Central · Visited link,"7007 Grover St, Omaha, NE 68106",choicehotels.com,(531) 213-4085,1562,3.7,41.22612,-96.0402264
Wyndham Omaha/West Dodge · Visited link,"655 N 108th Ave, Omaha, NE 68154",wyndhamhotels.com,(402) 509-5535,216,2.8,41.2656267,-96.1000886
Townhouse Inn · Visited link,"13929 Gold Cir, Omaha, NE 68144",,(402) 333-3777,232,4.0,41.2345161,-96.1497993
Comfort Inn SW Omaha I-80 · Visited link,"10729 J St, Omaha, NE 68127",choicehotels.com,(531) 213-4088,483,3.8,41.2137917,-96.0986159
MainStay Suites Omaha Old Mill · Visited link,"360 S 108th Ave, Omaha, NE 68154",choicehotels.com,(402) 758-2848,146,3.7,41.2565551,-96.1004519
Sonesta ES Suites Omaha · Visited link,"6990 Dodge St, Omaha, NE 68132",sonesta.com,(402) 553-8898,610,4.1,41.2611274,-96.0382008
Hampton Inn & Suites Omaha Southwest-La Vista · Visited link,"12331 Southport Pkwy, La Vista, NE 68128",hilton.com,(402) 895-2900,605,4.4,41.1804709,-96.1217826
Comfort Suites Omaha · Visited link,"10503 Bedford Ave, Omaha, NE 68134",choicehotels.com,(402) 445-0400,502,3.3,41.2882369,-96.0952195
Best Western Plus Midwest Inn · Visited link,"4706 S 108th St, Omaha, NE 68137",bestwestern.com,(402) 339-7400,1221,4.1,41.211668,-96.1003904
Embassy Suites by Hilton Omaha La Vista Hotel & Conference Center · Visited link,"12520 Westport Pkwy, La Vista, NE 68128",hilton.com,(402) 331-7400,2552,4.4,41.1813407,-96.1258276
Courtyard by Marriott Omaha La Vista · Visited link,"12560 Westport Pkwy, La Vista, NE 68128",marriott.com,(402) 339-4900,1020,4.3,41.1813407,-96.1258276
